STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
402,114.0,6.0,0.0,173.68,10.0,0.003938277291570705,2,0.0,0.9,105.55555555555554,0
404,60.0,10.0,0.0,173.68,10.0,0.0034546292031321967,3,0.0,1.0,50.0,0
405,16.2,10.0,0.0,173.68,10.0,0.0009327498848456932,3,0.0,1.0,13.5,0
406,114.0,11.0,0.0,173.68,10.0,0.007220175034546293,3,0.0,1.0,95.0,0
407,48.0,11.0,0.0,173.68,10.0,0.0030400736987563335,3,0.0,1.0,40.0,0
409,60.0,10.0,0.0,173.68,10.0,0.0034546292031321967,2,0.0,0.9,55.55555555555555,0
410,16.2,7.0,0.0,173.68,10.0,0.0006529249193919852,2,0.0,0.9,14.999999999999998,0
411,54.0,1.0,0.0,173.68,10.0,0.00031091662828189776,3,0.0,1.0,45.0,0
412,54.0,1.0,0.0,173.68,10.0,0.00031091662828189776,3,0.0,1.0,45.0,0
413,114.0,11.0,0.0,173.68,10.0,0.007220175034546293,2,0.0,0.9,105.55555555555554,0
414,48.0,10.0,0.0,173.68,10.0,0.0027637033625057578,3,0.0,1.0,40.0,0
416,60.0,6.0,0.0,173.68,10.0,0.002072777521879318,4,0.0,1.15,43.47826086956522,0
417,16.2,4.0,0.0,173.7,10.0,0.0003730569948186529,2,0.0,0.9,14.999999999999998,0
418,54.0,3.0,0.0,173.7,10.0,0.0009326424870466321,2,0.0,0.9,50.0,0
419,54.0,3.0,0.0,173.7,10.0,0.0009326424870466321,2,0.0,0.9,50.0,0
420,114.0,15.0,0.0,173.7,10.0,0.009844559585492229,2,0.0,0.9,105.55555555555554,0
421,48.0,17.0,0.0,173.7,10.0,0.004697754749568221,2,0.0,0.9,44.44444444444444,0
423,54.0,1.0,0.0,173.7,10.0,0.000310880829015544,3,0.0,1.0,45.0,0
424,114.0,13.0,0.0,173.7,10.0,0.008531951640759932,4,0.0,1.15,82.60869565217392,0
425,48.0,5.0,0.0,173.7,10.0,0.001381692573402418,3,0.0,1.0,40.0,0
427,54.0,6.0,0.0,173.7,10.0,0.0018652849740932642,3,0.0,1.0,45.0,0
428,114.0,13.0,0.0,173.7,10.0,0.008531951640759932,3,0.0,1.0,95.0,0
430,43.199999999999996,2.0,0.0,173.68,10.0,0.0004974666052510364,2,0.0,0.9,39.99999999999999,0
431,42.0,2.0,0.0,173.68,10.0,0.00048364808843850764,2,0.0,0.9,38.888888888888886,0
432,108.0,2.0,0.0,173.68,10.0,0.001243666513127591,3,0.0,1.0,90.0,0
