STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
499,10.799999999999999,5.0,0.0,173.68,10.0,0.0003109166282818977,2,0.0,0.9,4.5,0
501,102.0,5.0,0.0,173.68,10.0,0.002936434822662368,3,0.0,1.0,28.333333333333336,0
502,16.2,5.0,1.0,173.68,10.0,0.0004663749424228466,4,0.002,1.15,3.375,1
503,10.799999999999999,5.0,0.0,173.68,10.0,0.0003109166282818977,3,0.0,1.0,3.0,0
504,48.0,10.0,0.0,173.68,10.0,0.0027637033625057578,2,0.0,0.9,20.0,0
506,60.0,10.0,0.0,173.7,10.0,0.003454231433506045,3,0.0,1.0,16.666666666666668,0
507,16.2,10.0,0.0,173.7,10.0,0.0009326424870466321,3,0.0,1.0,4.5,0
508,78.0,10.0,0.0,173.7,10.0,0.004490500863557859,3,0.0,1.0,21.666666666666668,0
509,54.0,4.0,1.0,173.7,10.0,0.001243523316062176,2,0.0025,0.9,22.5,1
510,54.0,5.0,0.0,173.68,10.0,0.0015545831414094887,2,0.0,0.9,22.5,0
511,114.0,5.0,0.0,173.68,10.0,0.003281897742975587,2,0.0,0.9,47.5,0
513,60.0,11.0,0.0,173.68,10.0,0.003800092123445417,2,0.0,0.9,25.0,0
514,16.2,11.0,0.0,173.68,10.0,0.0010260248733302624,3,0.0,1.0,4.5,0
515,78.0,11.0,0.0,173.7,10.0,0.004939550949913645,4,0.0,1.15,16.25,0
516,54.0,3.0,0.0,173.7,10.0,0.0009326424870466321,3,0.0,1.0,15.000000000000002,0
517,54.0,3.0,0.0,173.7,10.0,0.0009326424870466321,3,0.0,1.0,15.000000000000002,0
518,114.0,9.0,0.0,173.7,10.0,0.005906735751295338,3,0.0,1.0,31.66666666666667,0
519,48.0,8.0,0.0,173.7,10.0,0.002210708117443869,4,0.0,1.15,10.0,0
521,48.0,12.0,0.0,173.68,10.0,0.0033164440350069093,3,0.0,1.0,13.333333333333334,0
523,48.0,14.0,0.0,173.68,10.0,0.0038691847075080603,3,0.0,1.0,13.333333333333334,0
525,48.0,13.0,0.0,173.68,10.0,0.003592814371257485,2,0.0,0.9,20.0,0
527,48.0,8.0,0.0,173.7,10.0,0.002210708117443869,2,0.0,0.9,20.0,0
529,48.0,10.0,0.0,173.7,10.0,0.002763385146804836,2,0.0,0.9,20.0,0
531,48.0,9.0,0.0,173.7,10.0,0.002487046632124352,4,0.0,1.15,10.0,0
532,54.5,3.0,1.0,173.7,10.0,0.0009412780656303972,4,0.003333333333333333,1.15,11.354166666666668,1
535,162.0,26.0,1.0,173.7,30.0,0.008082901554404146,3,0.0003846153846153846,1.0,45.00000000000001,1
561,124.2,10.0,1.0,173.7,10.0,0.007150259067357514,4,0.001,1.15,25.875,1
562,36.0,10.0,0.0,173.7,10.0,0.0020725388601036273,3,0.0,1.0,10.000000000000002,0
563,138.0,10.0,2.0,173.7,10.0,0.007944732297063904,3,0.002,1.0,38.333333333333336,1
567,84.0,1.0,0.0,173.7,10.0,0.0004835924006908463,3,0.0,1.0,23.333333333333336,0
569,36.0,6.0,0.0,173.7,10.0,0.001243523316062176,3,0.0,1.0,10.000000000000002,0
570,138.0,6.0,0.0,173.7,10.0,0.004766839378238342,3,0.0,1.0,38.333333333333336,0
